date,depression,anxiety,social media
2023-04-23,63,83,57
2023-04-24,77,96,76
2023-04-25,81,96,76
2023-04-26,77,88,76
2023-04-27,73,85,73
2023-04-28,70,84,67
2023-04-29,58,76,54
2023-04-30,63,81,55
2023-05-01,80,95,75
2023-05-02,77,92,80
2023-05-03,72,91,78
2023-05-04,73,87,78
2023-05-05,66,77,69
2023-05-06,56,71,52
2023-05-07,59,74,58
2023-05-08,73,87,75
2023-05-09,70,87,76
2023-05-10,73,86,77
2023-05-11,72,85,72
2023-05-12,66,76,65
2023-05-13,53,68,52
2023-05-14,59,72,57
2023-05-15,72,87,74
2023-05-16,70,86,77
2023-05-17,69,79,75
2023-05-18,71,83,78
2023-05-19,63,80,66
2023-05-20,54,68,51
2023-05-21,60,71,59
2023-05-22,69,87,75
2023-05-23,70,84,79
2023-05-24,67,80,77
2023-05-25,68,84,76
2023-05-26,59,76,66
2023-05-27,53,73,55
2023-05-28,59,74,58
2023-05-29,59,72,68
2023-05-30,66,82,68
2023-05-31,64,82,75
2023-06-01,66,84,66
2023-06-02,61,76,64
2023-06-03,52,72,52
2023-06-04,62,83,57
2023-06-05,66,87,74
2023-06-06,66,83,71
2023-06-07,66,84,78
2023-06-08,64,78,68
2023-06-09,57,77,61
2023-06-10,52,71,50
2023-06-11,57,73,53
2023-06-12,63,85,68
2023-06-13,61,84,68
2023-06-14,63,84,69
2023-06-15,62,78,67
2023-06-16,57,76,59
2023-06-17,57,74,53
2023-06-18,57,74,50
2023-06-19,66,83,70
2023-06-20,61,79,65
2023-06-21,62,80,64
2023-06-22,59,80,62
2023-06-23,56,80,58
2023-06-24,52,72,51
2023-06-25,59,78,53
2023-06-26,60,84,63
2023-06-27,60,82,62
2023-06-28,57,79,60
2023-06-29,60,80,60
2023-06-30,52,76,54
2023-07-01,52,77,53
2023-07-02,61,85,56
2023-07-03,60,82,67
2023-07-04,59,78,62
2023-07-05,61,85,65
2023-07-06,63,83,85
2023-07-07,62,77,74
2023-07-08,56,78,58
2023-07-09,60,81,62
2023-07-10,63,88,75
2023-07-11,60,85,68
2023-07-12,62,83,68
2023-07-13,59,83,65
2023-07-14,61,80,62
2023-07-15,55,79,52
2023-07-16,59,79,51
2023-07-17,62,92,67
2023-07-18,63,82,62
2023-07-19,61,89,67
2023-07-20,60,83,65
2023-07-21,61,79,61
2023-07-22,53,72,51
2023-07-23,60,78,53
2023-07-24,64,85,66
2023-07-25,61,85,68
2023-07-26,62,87,69
2023-07-27,62,82,65
2023-07-28,57,80,64
2023-07-29,53,71,55
2023-07-30,62,83,54
2023-07-31,60,84,67
2023-08-01,59,82,66
2023-08-02,62,82,65
2023-08-03,53,81,65
2023-08-04,59,82,61
2023-08-05,62,75,55
2023-08-06,61,80,55
2023-08-07,65,87,64
2023-08-08,62,85,64
2023-08-09,61,88,66
2023-08-10,60,87,67
2023-08-11,57,81,58
2023-08-12,53,77,47
2023-08-13,58,79,51
2023-08-14,59,89,83
2023-08-15,62,92,68
2023-08-16,59,89,64
2023-08-17,64,88,67
2023-08-18,59,86,61
2023-08-19,55,76,52
2023-08-20,60,75,53
2023-08-21,65,88,68
2023-08-22,62,86,69
2023-08-23,62,85,70
2023-08-24,63,88,72
2023-08-25,59,85,66
2023-08-26,57,75,53
2023-08-27,69,83,59
2023-08-28,63,91,70
2023-08-29,65,92,66
2023-08-30,67,90,69
2023-08-31,62,86,68
2023-09-01,59,85,62
2023-09-02,53,73,54
2023-09-03,60,78,56
2023-09-04,59,80,67
2023-09-05,71,87,70
2023-09-06,69,91,74
2023-09-07,67,92,75
2023-09-08,61,85,67
2023-09-09,54,75,58
2023-09-10,65,84,58
2023-09-11,69,87,76
2023-09-12,69,95,82
2023-09-13,70,91,80
2023-09-14,70,91,79
2023-09-15,61,84,71
2023-09-16,57,76,54
2023-09-17,67,82,60
2023-09-18,77,92,76
2023-09-19,74,95,76
2023-09-20,72,92,80
2023-09-21,71,89,78
2023-09-22,64,80,67
2023-09-23,59,76,58
2023-09-24,66,82,61
2023-09-25,72,87,82
2023-09-26,77,92,83
2023-09-27,71,94,79
2023-09-28,68,87,78
2023-09-29,62,80,67
2023-09-30,57,76,72
2023-10-01,63,76,60
2023-10-02,70,90,77
2023-10-03,69,92,78
2023-10-04,71,88,79
2023-10-05,70,87,75
2023-10-06,67,79,69
2023-10-07,56,74,57
2023-10-08,62,77,58
2023-10-09,69,87,79
2023-10-10,74,96,81
2023-10-11,74,89,80
2023-10-12,69,91,79
2023-10-13,69,84,73
2023-10-14,58,75,57
2023-10-15,63,82,62
2023-10-16,71,89,80
2023-10-17,74,92,81
2023-10-18,72,90,83
2023-10-19,76,86,79
2023-10-20,65,80,74
2023-10-21,57,74,56
2023-10-22,63,80,61
2023-10-23,71,91,76
2023-10-24,78,87,77
2023-10-25,74,92,79
2023-10-26,72,85,83
2023-10-27,64,78,72
2023-10-28,56,73,58
2023-10-29,60,76,61
2023-10-30,75,85,81
2023-10-31,73,87,80
2023-11-01,74,86,73
2023-11-02,78,85,77
2023-11-03,70,81,78
2023-11-04,59,73,60
2023-11-05,64,78,60
2023-11-06,76,89,80
2023-11-07,78,88,80
2023-11-08,76,90,82
2023-11-09,75,92,80
2023-11-10,65,90,68
2023-11-11,57,84,55
2023-11-12,62,88,59
2023-11-13,80,100,75
2023-11-14,80,97,82
2023-11-15,77,93,82
2023-11-16,78,92,77
2023-11-17,82,86,73
